Report generated on: 2025-11-12 12:44:51


USE CASE 10: All cities in country Japan
Hibernate: 
    /* SELECT
        c 
    FROM
        City c,
        Country co 
    WHERE
        c.countryCode = co.code 
        AND co.name = :country 
    ORDER BY
        c.population DESC */ select
            c1_0.`ID`,
            c1_0.`CountryCode`,
            c1_0.`District`,
            c1_0.`Name`,
            c1_0.`Population` 
        from
            city c1_0,
            country c2_0 
        where
            c1_0.`CountryCode`=c2_0.`Code` 
            and c2_0.`Name`=? 
        order by
            c1_0.`Population` desc
Name                           Country         District                  Population
-------------------------------------------------------------------------------------
Tokyo                          JPN             Tokyo-to                   7,980,230
Jokohama [Yokohama]            JPN             Kanagawa                   3,339,594
Osaka                          JPN             Osaka                      2,595,674
Nagoya                         JPN             Aichi                      2,154,376
Sapporo                        JPN             Hokkaido                   1,790,886
Kioto                          JPN             Kyoto                      1,461,974
Kobe                           JPN             Hyogo                      1,425,139
Fukuoka                        JPN             Fukuoka                    1,308,379
Kawasaki                       JPN             Kanagawa                   1,217,359
Hiroshima                      JPN             Hiroshima                  1,119,117
Kitakyushu                     JPN             Fukuoka                    1,016,264
Sendai                         JPN             Miyagi                       989,975
Chiba                          JPN             Chiba                        863,930
Sakai                          JPN             Osaka                        797,735
Kumamoto                       JPN             Kumamoto                     656,734
Okayama                        JPN             Okayama                      624,269
Sagamihara                     JPN             Kanagawa                     586,300
Hamamatsu                      JPN             Shizuoka                     568,796
Kagoshima                      JPN             Kagoshima                    549,977
Funabashi                      JPN             Chiba                        545,299
Higashiosaka                   JPN             Osaka                        517,785
Hachioji                       JPN             Tokyo-to                     513,451
Niigata                        JPN             Niigata                      497,464
Amagasaki                      JPN             Hyogo                        481,434
Himeji                         JPN             Hyogo                        475,167
Shizuoka                       JPN             Shizuoka                     473,854
Urawa                          JPN             Saitama                      469,675
Matsuyama                      JPN             Ehime                        466,133
Matsudo                        JPN             Chiba                        461,126
Kanazawa                       JPN             Ishikawa                     455,386
Kawaguchi                      JPN             Saitama                      452,155
Ichikawa                       JPN             Chiba                        441,893
