Report generated on: 2025-11-12 14:52:42


USE CASE 17: All capital cities in the world by population

=== ALL CAPITAL CITIES IN THE WORLD (BY POPULATION) ===
Hibernate: 
    /* SELECT
        new com.napier.devops.model.CapitalCity(city.name, country.name, city.population) 
    FROM
        Country country 
    JOIN
        City city 
            ON city.id = country.capital 
    ORDER BY
        city.population DESC */ select
            c2_0.`Name`,
            c1_0.`Name`,
            c2_0.`Population` 
        from
            country c1_0 
        join
            city c2_0 
                on c2_0.`ID`=c1_0.`Capital` 
        order by
            c2_0.`Population` desc
Capital City                   Country                             Population
--------------------------------------------------------------------------------
Seoul                          South Korea                          9,981,619
Jakarta                        Indonesia                            9,604,900
Ciudad de México               Mexico                               8,591,309
Moscow                         Russian Federation                   8,389,200
Tokyo                          Japan                                7,980,230
Peking                         China                                7,472,000
London                         United Kingdom                       7,285,000
Cairo                          Egypt                                6,789,479
Teheran                        Iran                                 6,758,845
Lima                           Peru                                 6,464,693
Bangkok                        Thailand                             6,320,174
Santafé de Bogotá              Colombia                             6,260,862
Kinshasa                       Congo, The Democratic Republic of the       5,064,000
Santiago de Chile              Chile                                4,703,954
Baghdad                        Iraq                                 4,336,000
Singapore                      Singapore                            4,017,733
Dhaka                          Bangladesh                           3,612,850
Berlin                         Germany                              3,386,667
Rangoon (Yangon)               Myanmar                              3,361,700
Riyadh                         Saudi Arabia                         3,324,000
Ankara                         Turkey                               3,038,159
Buenos Aires                   Argentina                            2,982,146
Madrid                         Spain                                2,879,052
Roma                           Italy                                2,643,581
Taipei                         Taiwan                               2,641,312
Kyiv                           Ukraine                              2,624,000
Addis Abeba                    Ethiopia                             2,495,000
Pyongyang                      North Korea                          2,484,000
Nairobi                        Kenya                                2,290,000
La Habana                      Cuba                                 2,256,000
Alger                          Algeria                              2,168,000
Paris                          France                               2,125,246
Toskent                        Uzbekistan                           2,117,500
Luanda                         Angola                               2,022,000
Bucuresti                      Romania                              2,016,131
Caracas                        Venezuela                            1,975,294
Brasília                       Brazil                               1,969,868
Budapest                       Hungary                              1,811,552
Bakı                           Azerbaijan                           1,787,800
Kabul                          Afghanistan                          1,780,000
Tripoli                        Libyan Arab Jamahiriya               1,682,000
Minsk                          Belarus                              1,674,000
Warszawa                       Poland                               1,615,369
Santo Domingo de Guzmán        Dominican Republic                   1,609,966
Wien                           Austria                              1,608,144
Manila                         Philippines                          1,581,082
Quito                          Ecuador                              1,573,458
Hanoi                          Vietnam                              1,410,000
Harare                         Zimbabwe                             1,410,000
Yaoundé                        Cameroon                             1,372,800
Damascus                       Syria                                1,347,000
Lusaka                         Zambia                               1,317,000
Victoria                       Hong Kong                            1,312,637
Kuala Lumpur                   Malaysia                             1,297,526
Yerevan                        Armenia                              1,248,700
Montevideo                     Uruguay                              1,236,000
Tbilisi                        Georgia                              1,235,200
Beograd                        Yugoslavia                           1,204,000
Praha                          Czech Republic                       1,181,126
Sofija                         Bulgaria                             1,122,302
Beirut                         Lebanon                              1,100,000
Conakry                        Guinea                               1,090,610
Accra                          Ghana                                1,070,000
Maputo                         Mozambique                           1,018,938
Amman                          Jordan                               1,000,000
Mogadishu                      Somalia                                997,000
Managua                        Nicaragua                              959,000
Brazzaville                    Congo                                  950,000
Khartum                        Sudan                                  947,483
Kampala                        Uganda                                 890,800
Port-au-Prince                 Haiti                                  884,472
Monrovia                       Liberia                                850,000
Freetown                       Sierra Leone                           850,000
Ouagadougou                    Burkina Faso                           824,000
Ciudad de Guatemala            Guatemala                              823,301
Tegucigalpa                    Honduras                               813,900
Bamako                         Mali                                   809,552
Dakar                          Senegal                                785,071
Ulan Bator                     Mongolia                               773,700
Athenai                        Greece                                 772,072
Riga                           Latvia                                 764,328
La Paz                         Bolivia                                758,141
Stockholm                      Sweden                                 750,348
Amsterdam                      Netherlands                            731,200
Chisinau                       Moldova                                719,900
Zagreb                         Croatia                                706,770
Tunis                          Tunisia                                690,600
Antananarivo                   Madagascar                             675,669
Nouakchott                     Mauritania                             667,300
Pretoria                       South Africa                           658,630
Colombo                        Sri Lanka                              645,000
Jerusalem                      Israel                                 633,700
Rabat                          Morocco                                623,457
Kathmandu                      Nepal                                  591,835
Bishkek                        Kyrgyzstan                             589,400
Vilnius                        Lithuania                              577,969
Washington                     United States                          572,059
Phnom Penh                     Cambodia                               570,155
Lisboa                         Portugal                               563,210
Asunción                       Paraguay                               557,776
Helsinki [Helsingfors]         Finland                                555,474
Ashgabat                       Turkmenistan                           540,600
Vientiane                      Laos                                   531,800
N´Djaména                      Chad                                   530,965
Islamabad                      Pakistan                               524,500
Bangui                         Central African Republic               524,000
Dushanbe                       Tajikistan                             524,000
Oslo                           Norway                                 508,726
Sanaa                          Yemen                                  503,600
København                      Denmark                                495,699
Dublin                         Ireland                                481,854
Ciudad de Panamá               Panama                                 471,373
Bratislava                     Slovakia                               448,292
Skopje                         Macedonia                              444,299
Macao                          Macao                                  437,500
Lilongwe                       Malawi                                 435,964
San Juan                       Puerto Rico                            434,374
Asmara                         Eritrea                                431,000
Niamey                         Niger                                  420,000
Libreville                     Gabon                                  419,000
San Salvador                   El Salvador                            415,346
Tallinn                        Estonia                                403,981
Abu Dhabi                      United Arab Emirates                   398,695
Djibouti                       Djibouti                               383,000
Lomé                           Togo                                   375,000
Sarajevo                       Bosnia and Herzegovina                 360,000
Doha                           Qatar                                  355,000
Gaza                           Palestine                              353,632
Abuja                          Nigeria                                350,100
San José                       Costa Rica                             339,131
Ottawa                         Canada                                 335,277
Canberra                       Australia                              322,723
Astana                         Kazakstan                              311,200
New Delhi                      India                                  301,297
Bujumbura                      Burundi                                300,000
Maseru                         Lesotho                                297,000
Kigali                         Rwanda                                 286,000
Ljubljana                      Slovenia                               270,986
Tirana                         Albania                                270,000
Georgetown                     Guyana                                 254,000
Port Moresby                   Papua New Guinea                       247,000
Bissau                         Guinea-Bissau                          241,000
Gaborone                       Botswana                               213,017
Nicosia                        Cyprus                                 195,000
Porto-Novo                     Benin                                  194,000
Dodoma                         Tanzania                               189,000
Nassau                         Bahamas                                172,000
El-Aaiún                       Western Sahara                         169,000
Windhoek                       Namibia                                169,000
Wellington                     New Zealand                            166,700
al-Manama                      Bahrain                                148,000
Port-Louis                     Mauritius                              138,200
Bruxelles [Brussel]            Belgium                                133,859
