Report generated on: 2025-11-11T09:50:58.124763

=== USE CASE 29: Population by country ===

=== COUNTRY TOTALS (DESC) — TOP 50 ===
Country                   Population
-------------------------------------
China                  1,277,558,000
India                  1,013,662,000
United States            278,357,000
Indonesia                212,107,000
Brazil                   170,115,000
Pakistan                 156,483,000
Russian Federation       146,934,000
Bangladesh               129,155,000
Japan                    126,714,000
Nigeria                  111,506,000
Mexico                    98,881,000
Germany                   82,164,700
Vietnam                   79,832,000
Philippines               75,967,000
Egypt                     68,470,000
Iran                      67,702,000
Turkey                    66,591,000
Ethiopia                  62,565,000
Thailand                  61,399,000
United Kingdom            59,623,400
France                    59,225,700
Italy                     57,680,000
Congo, The Democratic Republic of the      51,654,000
Ukraine                   50,456,000
South Korea               46,844,000
Myanmar                   45,611,000
Colombia                  42,321,000
South Africa              40,377,000
Spain                     39,441,700
Poland                    38,653,600
Argentina                 37,032,000
Tanzania                  33,517,000
Algeria                   31,471,000
Canada                    31,147,000
Kenya                     30,080,000
Sudan                     29,490,000
Morocco                   28,351,000
Peru                      25,662,000
Uzbekistan                24,318,000
Venezuela                 24,170,000
North Korea               24,039,000
Nepal                     23,930,000
Iraq                      23,115,000
Afghanistan               22,720,000
Romania                   22,455,500
Taiwan                    22,256,000
Malaysia                  22,244,000
Uganda                    21,778,000
Saudi Arabia              21,607,000
Ghana                     20,212,000

